Brand,Ram,Rom,Extended_Memory,Battery_capacity(mAh),Processor,Price
POCO,6,64,512,5000,Qualcomm Snapdragon 720G Processor,15490
ViVO,3,64,256,5000,Qualcomm Snapdragon 460 Processor,16999
MOTOROLA,4,64,,6000,Qualcomm Snapdragon 732G Processor,1325
Itel,,0.032,32,2500,,1325
Itel,,0.032,32,2500,,54900
APPLE,,,,,,22999
realme,8,128,256,4500,Qualcomm Snapdragon 720G Processor,8499
REDMI,2,32,512,5000,Qualcomm Snapdragon 439 Processor,22999
SAMSUNG,6,128,512,6000,Samsung Exynos 9 Octa 9611 Processor,1099
POCO,8,128,512,6000,Qualcomm Snapdragon 732G Processor,44900
Tork,,0.032,8,1000,,10990
Tork,,0.032,8,1000,,819
Kechaoda,,0.032,16,800,,17990
APPLE,,,,,,15990
OPPO,2,32,256,4000,MediaTek Helio P22 Processor,15990
BlackZone,,0.064,,1000,,15999
Tork,,0.032,8,1000,,11999
Micromax,,0.032,,1750,,12999
realme,3,32,256,6000,Mediatek Helio G35 Processor,1240
realme,4,64,256,6000,Mediatek Helio G35 Processor,1240
Snexian,,0.032,,800,,13999
Snexian,,0.032,,800,,2499
SAMSUNG,4,64,1000,5000,Mediatek Helio P35 (MT6765) Processor,11999
Micromax,,0.032,,2500,,29990
Itel,,0.08,32,1900,SC6531C Processor,44900
Tecno,4,64,256,6000,MediaTek Helio G80 Processor,1099
Kechaoda,,0.032,16,800,,799
Kechaoda,,0.032,16,800,,17990
OPPO,8,128,256,4310,,15990
APPLE,,,,,,15990
Kechaoda,,0.032,,800,,1349
Itel,,0.04,32,3000,ARM9 architecture (Single core) Processor,15990
realme,6,64,256,4300,,20999
Muphone,,0.064,,1700,,1259
Kechaoda,,0.064,16,1700,,1325
BlackBear,,0.064,,1000,,10673
OPPO,6,128,256,4230,,6499
realme,8,128,256,5000,MediaTek Helio G95 Processor,11499
REDMI,8,128,,5020,,20990
SAMSUNG,4,64,512,5000,Exynos 850 Octa Core Processor,8999
BlackBear,,0.024,,1550,,11999
Salora,,0.032,,2000,Spreadtrum Processor,11999
realme,3,32,256,6000,Mediatek Helio G35 Processor,6499
LAVA,2,16,128,3100,Unisoc Octa Core Processor,8999
Good,,0.032,,1050,,23990
Good,,0.032,32,1050,,1499
realme,3,32,256,4230,MediaTek Helio P60 Octa Core 2.0 GHz Processor,1349
Kechaoda,,0.032,,6000,,1349
Kechaoda,,0.032,,6000,,8499
OPPO,8,128,256,4310,,8499
OPPO,8,128,256,4310,,12999
Itel,,0.08,32,1900,SC6531C Processor,878
Kechaoda,,0.032,,400,,20999
Kechaoda,,0.032,,800,,22999
Kechaoda,,0.032,,800,,20999
Kechaoda,,0.032,,6000,,20999
realme,6,128,256,4500,Qualcomm Snapdragon 720G Processor,22999
realme,8,128,256,4500,Qualcomm Snapdragon 720G Processor,20999
realme,6,128,256,4500,Qualcomm Snapdragon 720G Processor,22999
realme,8,128,256,4500,Qualcomm Snapdragon 720G Processor,35990
ViVO,8,256,,4000,MediaTek Dimensity 800U Processor,769
KARBONN,,0.032,32,1450,,7777
I,,0.064,8,800,,17990
Kechaoda,,0.032,,800,,10999
LAVA,2,32,,4060,,9999
Kechaoda,,0.064,,400,,769
ViVO,6,64,256,5000,Qualcomm Snapdragon 712 AIE Octa Core 2.3GHz Processor,749
REDMI,4,128,512,5000,MediaTek Helio G25 Processor,39900
